train_module,test_module,target,baseline_AUROC,stable_causal_AUROC,baseline_AUPRC,stable_causal_AUPRC,baseline_ECE,stable_causal_ECE,baseline_Brier,stable_causal_Brier,AUROC_delta,AUPRC_delta,ECE_delta,Brier_delta
DDD,CCC,dropout,0.8492435434801633,0.8205723228028271,0.8355111798025263,0.8110731671263466,0.20970597037567468,0.11026898391445476,0.21360814233365144,0.18389328325135457,-0.028671220677336184,-0.024438012676179732,-0.09943698646121991,-0.029714859082296874
DDD,CCC,failure,0.7341449838818392,0.7119540777001556,0.325933473896835,0.30996956247228447,0.2948191677767113,0.0630486449747946,0.22535328537524832,0.1398539163173966,-0.022190906181683623,-0.01596391142455056,-0.2317705228019167,-0.08549936905785172
DDD,EEE,dropout,0.9047802717987508,0.900163362269765,0.798961901330075,0.7928611153178287,0.052224393464858514,0.014309510193723967,0.09771388613561627,0.09672349371679886,-0.0046169095289857465,-0.006100786012246395,-0.03791488327113455,-0.000990392418817404
DDD,EEE,failure,0.7853163839095496,0.7731568026741402,0.43583601294875757,0.40843996343522077,0.18145143183426907,0.030912610155360776,0.1677882651544349,0.1346575462851036,-0.012159581235409389,-0.027396049513536802,-0.15053882167890828,-0.033130718869331305
DDD,FFF,dropout,0.8708560946201711,0.8650014284408593,0.7988522197634493,0.7930912694707387,0.03606272180951292,0.04100031987426882,0.12539051297060363,0.12666991871504227,-0.0058546661793118515,-0.00576095029271062,0.0049375980647558965,0.001279405744438633
DDD,FFF,failure,0.7614921037922255,0.7434683622870127,0.44657336739520426,0.4191609109377904,0.22582671419026015,0.03243647152831629,0.20182935812420338,0.15235572049352167,-0.018023741505212798,-0.02741245645741386,-0.19339024266194388,-0.049473637630681716
DDD,GGG,dropout,0.7507820805787395,0.711158701257439,0.3679366461837534,0.3348371156555019,0.6191477720767565,0.543992814941408,0.4754835989374239,0.39353529347791577,-0.039623379321300556,-0.033099530528251486,-0.07515495713534848,-0.08194830545950815
DDD,GGG,failure,0.5257437053533399,0.4627409550582308,0.3119181136691286,0.27756513046108744,0.24537541324474163,0.11302667102111233,0.26901979436335,0.2250945278804813,-0.0630027502951091,-0.034352983208041143,-0.1323487422236293,-0.04392526648286871
EEE,AAA,dropout,0.7318430051549023,0.7020619609044048,0.5568040315142212,0.5137585467939336,0.18516956833639447,0.09064157975311521,0.15952238282312045,0.12321466595111967,-0.029781044250497546,-0.043045484720287575,-0.09452798858327927,-0.03630771687200078
EEE,AAA,failure,0.619432318062455,0.6417114088346966,0.18250717237119124,0.18200373130866945,0.41776835532201567,0.11608011620135283,0.3043251374925948,0.13320168960666187,0.02227909077224155,-0.0005034410625217867,-0.30168823912066284,-0.17112344788593295
